country,tema_prompt,Frecuencia
Chile,Estereotipos,23
Chile,Sociedad,21
Chile,Opinión,14
Chile,Lengua,12
Chile,Políticas públicas,12
Chile,Cultura,6
Chile,Historia,5
Colombia,Cultura,38
Colombia,Sociedad,35
Colombia,Historia,31
Colombia,Estereotipos,28
Colombia,Lengua,15
Colombia,Opinión,15
Colombia,Políticas públicas,15
España,Lengua,59
España,Cultura,45
España,Estereotipos,35
España,Opinión,34
España,Sociedad,27
España,Historia,24
España,Políticas públicas,23
México,Estereotipos,5
México,Lengua,1
Nicaragua,Cultura,8
Nicaragua,Estereotipos,6
Nicaragua,Historia,5
Nicaragua,Sociedad,5
Nicaragua,Políticas públicas,3
Nicaragua,Lengua,2
Nicaragua,Opinión,1
Paraguay,Lengua,18
Paraguay,Sociedad,14
Paraguay,Políticas públicas,12
Paraguay,Historia,9
Paraguay,Cultura,7
Paraguay,Estereotipos,3
Paraguay,Opinión,2
Perú,Estereotipos,24
Perú,Lengua,23
Perú,Opinión,7
Perú,Cultura,6
Perú,Historia,3
Perú,Sociedad,3
Perú,Políticas públicas,2
